
running 1 test
bvh_build entries=46908 payload_ms=4.301 keys_ms=0.605 partition_ms=4.604 assembly_ms=1.926 cleanup_ms=0.005 node_bytes=12008320 total_ms=11.440
bvh_build entries=46908 payload_ms=4.557 keys_ms=0.850 partition_ms=2.671 assembly_ms=2.114 cleanup_ms=0.005 node_bytes=12008320 total_ms=10.197
bvh_build entries=46908 payload_ms=7.018 keys_ms=0.793 partition_ms=2.560 assembly_ms=4.865 cleanup_ms=0.004 node_bytes=12008320 total_ms=15.240
bvh_build entries=46908 payload_ms=4.204 keys_ms=0.579 partition_ms=2.700 assembly_ms=3.382 cleanup_ms=0.005 node_bytes=12008320 total_ms=10.869
bvh_build entries=46908 payload_ms=4.185 keys_ms=0.601 partition_ms=2.573 assembly_ms=3.571 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.934
bvh_build entries=46908 payload_ms=4.230 keys_ms=0.587 partition_ms=2.557 assembly_ms=2.141 cleanup_ms=0.005 node_bytes=12008320 total_ms=9.519
bvh_build entries=46908 payload_ms=4.210 keys_ms=0.553 partition_ms=2.614 assembly_ms=1.852 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.233
bvh_build entries=46908 payload_ms=4.349 keys_ms=0.829 partition_ms=2.703 assembly_ms=2.441 cleanup_ms=0.005 node_bytes=12008320 total_ms=10.327
bvh_build entries=46908 payload_ms=4.153 keys_ms=0.596 partition_ms=3.039 assembly_ms=2.327 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.119
progress frame=100 total_ms=65.491 physics_ms=12.315 groups=1 bodies=3017 grouped=2
bvh_build entries=46908 payload_ms=5.946 keys_ms=0.995 partition_ms=2.734 assembly_ms=4.111 cleanup_ms=0.005 node_bytes=12008320 total_ms=13.791
bvh_build entries=46908 payload_ms=4.346 keys_ms=0.566 partition_ms=2.867 assembly_ms=1.921 cleanup_ms=0.005 node_bytes=12008320 total_ms=9.705
bvh_build entries=46908 payload_ms=4.308 keys_ms=0.621 partition_ms=2.896 assembly_ms=2.630 cleanup_ms=0.005 node_bytes=12008320 total_ms=10.461
bvh_build entries=46908 payload_ms=4.276 keys_ms=0.648 partition_ms=2.800 assembly_ms=4.394 cleanup_ms=0.006 node_bytes=12008320 total_ms=12.123
bvh_build entries=46908 payload_ms=4.189 keys_ms=0.603 partition_ms=2.842 assembly_ms=2.571 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.210
bvh_build entries=46908 payload_ms=4.239 keys_ms=0.573 partition_ms=2.800 assembly_ms=1.868 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.484
bvh_build entries=46908 payload_ms=7.231 keys_ms=0.773 partition_ms=2.680 assembly_ms=5.076 cleanup_ms=0.003 node_bytes=12008320 total_ms=15.764
bvh_build entries=46908 payload_ms=4.482 keys_ms=0.829 partition_ms=2.896 assembly_ms=2.123 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.334
bvh_build entries=46908 payload_ms=5.868 keys_ms=0.582 partition_ms=3.056 assembly_ms=3.833 cleanup_ms=0.006 node_bytes=12008320 total_ms=13.345
bvh_build entries=46908 payload_ms=4.300 keys_ms=0.675 partition_ms=2.623 assembly_ms=1.976 cleanup_ms=0.003 node_bytes=12008320 total_ms=9.578
bvh_build entries=46908 payload_ms=4.790 keys_ms=0.594 partition_ms=2.683 assembly_ms=4.243 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.314
bvh_build entries=46908 payload_ms=4.171 keys_ms=0.588 partition_ms=2.621 assembly_ms=3.583 cleanup_ms=0.005 node_bytes=12008320 total_ms=10.968
bvh_build entries=46908 payload_ms=6.065 keys_ms=0.670 partition_ms=2.623 assembly_ms=3.027 cleanup_ms=0.003 node_bytes=12008320 total_ms=12.387
bvh_build entries=46908 payload_ms=9.388 keys_ms=0.879 partition_ms=2.683 assembly_ms=6.414 cleanup_ms=0.004 node_bytes=12008320 total_ms=19.368
bvh_build entries=46908 payload_ms=4.772 keys_ms=0.581 partition_ms=2.900 assembly_ms=4.103 cleanup_ms=0.003 node_bytes=12008320 total_ms=12.360
bvh_build entries=46908 payload_ms=4.224 keys_ms=0.751 partition_ms=2.640 assembly_ms=3.192 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.810
bvh_build entries=46908 payload_ms=4.369 keys_ms=0.604 partition_ms=2.676 assembly_ms=2.023 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.676
bvh_build entries=46908 payload_ms=7.124 keys_ms=0.791 partition_ms=2.707 assembly_ms=5.885 cleanup_ms=0.005 node_bytes=12008320 total_ms=16.512
bvh_build entries=46908 payload_ms=6.972 keys_ms=0.575 partition_ms=2.742 assembly_ms=4.107 cleanup_ms=0.004 node_bytes=12008320 total_ms=14.400
bvh_build entries=46908 payload_ms=4.278 keys_ms=0.562 partition_ms=2.806 assembly_ms=1.943 cleanup_ms=0.005 node_bytes=12008320 total_ms=9.595
bvh_build entries=46908 payload_ms=4.197 keys_ms=0.534 partition_ms=2.756 assembly_ms=1.856 cleanup_ms=0.005 node_bytes=12008320 total_ms=9.347
bvh_build entries=46908 payload_ms=4.512 keys_ms=0.818 partition_ms=2.630 assembly_ms=2.592 cleanup_ms=0.020 node_bytes=12008320 total_ms=10.570
bvh_build entries=46908 payload_ms=4.769 keys_ms=0.616 partition_ms=2.686 assembly_ms=4.476 cleanup_ms=0.005 node_bytes=12008320 total_ms=12.551
bvh_build entries=46908 payload_ms=4.914 keys_ms=0.780 partition_ms=2.722 assembly_ms=3.526 cleanup_ms=0.005 node_bytes=12008320 total_ms=11.948
bvh_build entries=46908 payload_ms=7.266 keys_ms=1.503 partition_ms=2.730 assembly_ms=2.878 cleanup_ms=0.008 node_bytes=12008320 total_ms=14.384
bvh_build entries=46908 payload_ms=5.117 keys_ms=1.046 partition_ms=2.741 assembly_ms=2.619 cleanup_ms=0.005 node_bytes=12008320 total_ms=11.528
bvh_build entries=46908 payload_ms=5.297 keys_ms=0.736 partition_ms=2.699 assembly_ms=4.481 cleanup_ms=0.006 node_bytes=12008320 total_ms=13.220
bvh_build entries=46908 payload_ms=7.684 keys_ms=0.645 partition_ms=2.690 assembly_ms=2.560 cleanup_ms=0.005 node_bytes=12008320 total_ms=13.584
bvh_build entries=46908 payload_ms=9.971 keys_ms=0.734 partition_ms=2.493 assembly_ms=4.390 cleanup_ms=0.004 node_bytes=12008320 total_ms=17.591
bvh_build entries=46908 payload_ms=4.996 keys_ms=0.581 partition_ms=2.664 assembly_ms=3.614 cleanup_ms=0.006 node_bytes=12008320 total_ms=11.862
bvh_build entries=46908 payload_ms=4.476 keys_ms=0.686 partition_ms=2.681 assembly_ms=2.235 cleanup_ms=0.005 node_bytes=12008320 total_ms=10.083
bvh_build entries=46908 payload_ms=4.810 keys_ms=0.754 partition_ms=3.173 assembly_ms=3.641 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.382
bvh_build entries=46908 payload_ms=12.586 keys_ms=0.847 partition_ms=2.627 assembly_ms=4.770 cleanup_ms=0.004 node_bytes=12008320 total_ms=20.833
bvh_build entries=46908 payload_ms=4.226 keys_ms=0.576 partition_ms=2.852 assembly_ms=2.797 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.455
bvh_build entries=46908 payload_ms=4.212 keys_ms=0.564 partition_ms=2.697 assembly_ms=1.835 cleanup_ms=0.003 node_bytes=12008320 total_ms=9.311
bvh_build entries=46908 payload_ms=4.790 keys_ms=0.582 partition_ms=2.692 assembly_ms=4.037 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.106
bvh_build entries=46908 payload_ms=4.494 keys_ms=0.589 partition_ms=2.833 assembly_ms=2.129 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.050
bvh_build entries=46908 payload_ms=5.492 keys_ms=0.586 partition_ms=2.702 assembly_ms=3.397 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.180
bvh_build entries=46908 payload_ms=4.416 keys_ms=0.588 partition_ms=2.643 assembly_ms=1.884 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.535
bvh_build entries=46908 payload_ms=4.583 keys_ms=0.843 partition_ms=2.635 assembly_ms=2.108 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.173
bvh_build entries=46908 payload_ms=6.922 keys_ms=0.771 partition_ms=2.703 assembly_ms=5.318 cleanup_ms=0.006 node_bytes=12008320 total_ms=15.721
bvh_build entries=46908 payload_ms=4.204 keys_ms=0.564 partition_ms=2.662 assembly_ms=2.074 cleanup_ms=0.003 node_bytes=12008320 total_ms=9.508
bvh_build entries=46908 payload_ms=5.244 keys_ms=0.593 partition_ms=2.573 assembly_ms=4.467 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.880
bvh_build entries=46908 payload_ms=4.498 keys_ms=0.852 partition_ms=2.600 assembly_ms=3.361 cleanup_ms=0.004 node_bytes=12008320 total_ms=11.315
bvh_build entries=46908 payload_ms=4.325 keys_ms=0.579 partition_ms=2.646 assembly_ms=2.021 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.575
bvh_build entries=46908 payload_ms=4.533 keys_ms=0.844 partition_ms=2.678 assembly_ms=3.732 cleanup_ms=0.006 node_bytes=12008320 total_ms=11.794
bvh_build entries=46908 payload_ms=4.419 keys_ms=0.925 partition_ms=2.716 assembly_ms=2.608 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.672
bvh_build entries=46908 payload_ms=4.725 keys_ms=1.464 partition_ms=3.229 assembly_ms=2.955 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.377
bvh_build entries=46908 payload_ms=9.663 keys_ms=0.843 partition_ms=2.669 assembly_ms=3.520 cleanup_ms=0.004 node_bytes=12008320 total_ms=16.700
bvh_build entries=46908 payload_ms=6.934 keys_ms=1.055 partition_ms=2.729 assembly_ms=2.984 cleanup_ms=0.004 node_bytes=12008320 total_ms=13.706
progress frame=150 total_ms=69.350 physics_ms=10.779 groups=1 bodies=3017 grouped=2
bvh_build entries=46908 payload_ms=4.504 keys_ms=0.888 partition_ms=2.881 assembly_ms=2.352 cleanup_ms=0.003 node_bytes=12008320 total_ms=10.628
bvh_build entries=46908 payload_ms=8.328 keys_ms=0.572 partition_ms=2.602 assembly_ms=4.427 cleanup_ms=0.004 node_bytes=12008320 total_ms=15.932
bvh_build entries=46908 payload_ms=4.373 keys_ms=0.856 partition_ms=3.587 assembly_ms=2.391 cleanup_ms=0.005 node_bytes=12008320 total_ms=11.212
bvh_build entries=46908 payload_ms=5.836 keys_ms=0.713 partition_ms=2.638 assembly_ms=5.569 cleanup_ms=0.006 node_bytes=12008320 total_ms=14.763
bvh_build entries=46908 payload_ms=4.743 keys_ms=0.967 partition_ms=3.257 assembly_ms=4.472 cleanup_ms=0.005 node_bytes=12008320 total_ms=13.443
bvh_build entries=46908 payload_ms=4.592 keys_ms=0.728 partition_ms=2.615 assembly_ms=2.264 cleanup_ms=0.003 node_bytes=12008320 total_ms=10.203
bvh_build entries=46908 payload_ms=4.621 keys_ms=0.750 partition_ms=2.671 assembly_ms=2.729 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.776
bvh_build entries=46908 payload_ms=4.560 keys_ms=0.767 partition_ms=2.781 assembly_ms=2.571 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.683
bvh_build entries=46908 payload_ms=5.329 keys_ms=0.996 partition_ms=3.611 assembly_ms=3.681 cleanup_ms=0.006 node_bytes=12008320 total_ms=13.624
bvh_build entries=46908 payload_ms=5.515 keys_ms=0.558 partition_ms=2.659 assembly_ms=2.463 cleanup_ms=0.008 node_bytes=12008320 total_ms=11.203
bvh_build entries=46908 payload_ms=4.627 keys_ms=0.925 partition_ms=3.752 assembly_ms=2.703 cleanup_ms=0.006 node_bytes=12008320 total_ms=12.013
