scenario,format,codec,repeat,first_wire_bytes,raw_bytes,wire_bytes,serialize_us,compress_us,decompress_us,parse_us,server_us,server_p95_us,client_us,asset_wire_bytes
battle1024,snapshot,zstd1-independent,2,83078,205380.6,82572.5,244.6,439.1,107.1,930.1,683.6,747.3,1037.1,0
battle1024,delta,raw,2,205244,45491.7,45491.7,110.7,13.3,1.3,134.8,124.1,129.9,136.1,0
battle1024,delta,lz4-linked,2,107047,45491.7,45252.6,118.4,36.4,20.9,136.8,154.8,184.2,157.7,0
battle1024,delta,zstd1-w23,2,83085,45491.7,41727.4,112.0,52.8,32.7,134.1,164.8,173.9,166.9,0
battle1024,snapshot,raw,2,205228,205380.6,205380.6,283.9,44.2,6.1,941.1,328.1,414.9,947.2,0
battle1024,snapshot,lz4-linked,2,107048,205380.6,107145.6,277.4,342.6,93.1,936.1,619.9,679.8,1029.2,0
battle1024,snapshot,zstd1-w20,2,83078,205380.6,55734.5,306.2,263.5,77.4,936.5,569.7,681.1,1013.9,0
battle1024,snapshot,zstd1-w23,2,83078,205380.6,55734.5,302.1,263.6,76.6,931.9,565.7,682.6,1008.5,0
battle1024,snapshot,zstd3-w20,2,82769,205380.6,51836.8,305.4,510.9,75.6,935.6,816.3,871.8,1011.2,0
battle1024,snapshot,zstd3-w23,2,82769,205380.6,51317.6,302.6,450.6,72.3,934.3,753.3,806.8,1006.7,0
battle1024,compact,zstd1-w23,2,87723,126517.6,51133.0,223.7,190.2,57.2,647.2,413.9,457.5,704.5,0
battle1024,compact,zstd3-w23,2,84530,126517.6,48127.4,198.2,373.4,62.0,647.1,571.6,625.8,709.2,0
battle8192,snapshot,raw,0,1640826,1641138.7,1641138.7,2466.4,163.2,50.6,7445.8,2629.5,2720.0,7496.3,0
battle8192,snapshot,lz4-linked,0,853413,1641138.7,854628.3,2439.2,2658.5,749.8,7494.6,5097.7,5274.1,8244.4,0
battle8192,snapshot,zstd1-w20,0,654933,1641138.7,653634.9,2439.2,2582.2,837.4,7453.2,5021.4,5255.0,8290.6,0
battle8192,snapshot,zstd1-w23,0,654933,1641138.7,653621.5,2444.4,2628.1,844.1,7459.1,5072.5,5279.4,8303.2,0
battle8192,snapshot,zstd3-w20,0,657783,1641138.7,663284.0,2446.7,5408.0,889.4,7467.6,7854.7,8233.3,8357.1,0
battle8192,snapshot,zstd3-w23,0,657960,1641138.7,476065.6,2431.5,3976.4,678.8,7430.1,6407.9,6762.5,8108.9,0
battle8192,compact,zstd1-w23,0,684363,1010339.7,681253.6,1934.9,2350.5,714.3,5188.5,4285.4,4554.7,5902.8,0
battle8192,compact,zstd3-w23,0,675152,1010339.7,439666.0,1903.4,3634.4,563.8,5206.7,5537.8,5864.6,5770.6,0
battle8192,snapshot,zstd1-independent,0,654933,1641138.7,653340.3,2462.9,2572.0,839.3,7456.5,5034.9,5409.3,8295.7,0
battle8192,delta,raw,0,1640842,360452.8,360452.8,958.3,51.2,12.1,1068.4,1009.5,1164.3,1080.4,0
battle8192,delta,lz4-linked,0,853395,360452.8,359740.2,931.2,403.8,196.7,1061.5,1335.0,1464.6,1258.2,0
battle8192,delta,zstd1-w23,0,654764,360452.8,333022.2,948.9,370.6,254.2,1065.9,1319.5,1470.4,1320.1,0
battle8192,snapshot,zstd3-w20,1,657783,1641138.7,663284.0,2236.7,5819.9,878.1,7368.1,8056.5,8574.8,8246.2,0
battle8192,snapshot,zstd3-w23,1,657960,1641138.7,476065.6,2224.4,4306.7,671.8,7381.3,6531.1,7038.6,8053.1,0
battle8192,compact,zstd1-w23,1,684363,1010339.7,681253.6,1903.7,2342.5,706.1,5172.2,4246.3,4466.7,5878.3,0
battle8192,compact,zstd3-w23,1,675152,1010339.7,439666.0,1888.6,3656.5,561.2,5194.8,5545.1,5817.7,5756.0,0
battle8192,snapshot,zstd1-independent,1,654933,1641138.7,653340.3,2223.6,2592.5,834.7,7439.3,4816.0,5248.8,8274.0,0
battle8192,delta,raw,1,1640842,360452.8,360452.8,966.6,52.9,12.2,1082.6,1019.4,1145.5,1094.8,0
battle8192,delta,lz4-linked,1,853395,360452.8,359740.2,954.8,412.8,198.1,1073.2,1367.6,1509.4,1271.3,0
battle8192,delta,zstd1-w23,1,654764,360452.8,333022.2,993.2,390.6,260.8,1106.9,1383.8,1767.1,1367.7,0
battle8192,snapshot,raw,1,1640826,1641138.7,1641138.7,2494.2,260.3,59.0,7618.2,2754.5,3097.9,7677.2,0
battle8192,snapshot,lz4-linked,1,853413,1641138.7,854628.3,2466.4,2672.8,755.3,7545.5,5139.2,5314.7,8300.8,0
battle8192,snapshot,zstd1-w20,1,654933,1641138.7,653634.9,2487.5,2622.7,844.9,7534.3,5110.2,5457.0,8379.2,0
battle8192,snapshot,zstd1-w23,1,654933,1641138.7,653621.5,2369.8,2806.7,875.5,7631.8,5176.5,5716.5,8507.2,0
battle8192,snapshot,zstd1-independent,2,654933,1641138.7,653340.3,2482.7,2574.9,846.6,7481.6,5057.6,5289.8,8328.2,0
battle8192,delta,raw,2,1640842,360452.8,360452.8,960.5,53.9,12.2,1075.7,1014.4,1143.1,1087.8,0
battle8192,delta,lz4-linked,2,853395,360452.8,359740.2,951.0,408.0,197.4,1071.7,1359.1,1507.3,1269.1,0
battle8192,delta,zstd1-w23,2,654764,360452.8,333022.2,957.2,372.8,256.9,1071.8,1329.9,1486.0,1328.7,0
battle8192,snapshot,raw,2,1640826,1641138.7,1641138.7,2485.3,306.6,53.7,7486.3,2791.9,3096.9,7540.0,0
battle8192,snapshot,lz4-linked,2,853413,1641138.7,854628.3,2504.9,2752.9,760.9,7560.2,5257.8,5959.9,8321.1,0
battle8192,snapshot,zstd1-w20,2,654933,1641138.7,653634.9,2690.8,3011.0,966.0,8052.1,5701.8,8435.2,9018.1,0
battle8192,snapshot,zstd1-w23,2,654933,1641138.7,653621.5,2375.1,2797.6,850.1,7531.6,5172.7,5465.7,8381.7,0
battle8192,snapshot,zstd3-w20,2,657783,1641138.7,663284.0,2481.7,5890.4,906.9,7578.3,8372.2,8735.4,8485.2,0
battle8192,snapshot,zstd3-w23,2,657960,1641138.7,476065.6,2468.7,4171.6,690.9,7476.1,6640.3,6916.2,8167.0,0
battle8192,compact,zstd1-w23,2,684363,1010339.7,681253.6,1920.8,2383.5,715.3,5225.8,4304.3,4493.8,5941.0,0
battle8192,compact,zstd3-w23,2,675152,1010339.7,439666.0,1900.8,3703.6,580.9,5286.1,5604.4,5833.8,5867.0,0
battle1024-assets,snapshot,raw,0,205228,205380.6,205380.6,250.6,33.8,7.2,953.6,284.5,315.5,960.7,4194304
battle1024-assets,snapshot,lz4-linked,0,107048,205380.6,107161.2,252.5,354.7,96.0,948.2,607.2,681.4,1044.2,4194816
battle1024-assets,snapshot,zstd1-w20,0,83078,205380.6,56056.1,253.9,251.4,78.0,940.4,505.3,601.0,1018.4,4194400
battle1024-assets,snapshot,zstd1-w23,0,83078,205380.6,56056.2,255.0,248.5,77.8,931.8,503.4,595.0,1009.6,4194400
battle1024-assets,snapshot,zstd3-w20,0,82769,205380.6,51991.4,254.5,522.9,75.4,933.4,777.4,829.3,1008.8,4194496
battle1024-assets,snapshot,zstd3-w23,0,82769,205380.6,51342.1,247.6,453.9,73.2,942.4,701.5,743.1,1015.6,4194496
battle1024-assets,compact,zstd1-w23,0,87723,126517.6,51145.5,197.8,179.7,55.7,654.0,377.5,396.5,709.7,4194400
battle1024-assets,compact,zstd3-w23,0,84530,126517.6,48130.7,198.9,388.3,59.3,658.0,587.3,620.3,717.2,4194496
battle1024-assets,snapshot,zstd1-independent,0,83078,205380.6,82572.5,245.0,359.3,107.9,942.8,604.3,618.5,1050.7,4194544
battle1024-assets,delta,raw,0,205244,45491.7,45491.7,111.1,4.8,1.4,135.1,115.9,120.3,136.5,4194304
battle1024-assets,delta,lz4-linked,0,107047,45491.7,45264.7,114.5,40.8,20.8,135.7,155.3,163.1,156.5,4194816
