scenario,codec,trials,raw_bytes,wire_bytes,asset_wire_bytes_per_tick,serialize_us,compress_cpu_us,asset_cpu_us_per_tick,compress_wall_p95_us,encoder_bytes,main_mbps,total_mbps,server_us,cores_per_1000_clients,encoder_gib_per_1000_clients
battle1024-assets,zstd3-w23,3,141716.5,49346.7,26215.6,44.771,405.894,7.752,444.984,10479129.0,3.947736,6.0449839999999995,458.41700000000003,4.58417,9.759449400007725
battle1024-assets,zstd3-w24,3,141716.5,49346.7,26215.6,44.771,422.876,8.186,463.565,18867737.0,3.947736,6.0449839999999995,475.83299999999997,4.75833,17.571949400007725
battle1024-assets,zstd3-w23-ldm,3,141716.5,50371.4,26215.6,44.771,581.475,19.181,630.016,11032089.0,4.029712,6.12696,645.427,6.45427,10.2744335308671
battle1024-assets,zstd3-w24-ldm,3,141716.5,50398.2,26215.6,44.771,579.135,19.294,609.236,19949081.0,4.031856,6.129103999999999,643.1999999999999,6.4319999999999995,18.579029478132725
coast128,zstd-1-w21,3,17909.0,2925.4,0.0,7.561,12.799,0.0,15.931,3040793.0,0.234032,0.234032,20.36,0.2036,2.8319591656327248
coast128,zstd1-w21,3,17909.0,2913.8,0.0,7.561,19.487,0.0,21.37,3073561.0,0.233104,0.233104,27.048,0.27048,2.8624767437577248
coast128,zstd3-w21,3,17909.0,2912.5,0.0,7.561,34.181,0.0,37.05,3794457.0,0.233,0.233,41.742,0.41741999999999996,3.5338634625077248
coast1024,zstd-1-w21,3,141540.5,23122.8,0.0,46.56,78.896,0.0,91.051,3040793.0,1.849824,1.849824,125.456,1.2545600000000001,2.8319591656327248
coast1024,zstd1-w21,3,141540.5,22554.3,0.0,46.56,106.412,0.0,115.561,3073561.0,1.804344,1.804344,152.972,1.5297200000000002,2.8624767437577248
coast1024,zstd3-w21,3,141540.5,22498.7,0.0,46.56,223.803,0.0,249.263,3794457.0,1.799896,1.799896,270.363,2.70363,3.5338634625077248
battle1024,zstd-1-w21,3,141716.5,53787.6,0.0,48.178,148.802,0.0,215.882,3040793.0,4.303008,4.303008,196.98,1.9698,2.8319591656327248
battle1024,zstd1-w21,3,141716.5,49435.8,0.0,48.178,182.469,0.0,206.151,3073561.0,3.954864,3.954864,230.647,2.30647,2.8624767437577248
battle1024,zstd3-w21,3,141716.5,49345.2,0.0,48.178,440.346,0.0,506.794,3794457.0,3.947616,3.947616,488.524,4.88524,3.5338634625077248
battle8192,zstd-1-w21,6,1130899.9,643894.5,0.0,327.4655,1729.0155,0.0,2006.9235,3958297.0,51.51156,51.51156,2056.4809999999998,20.564809999999998,3.6864513531327248
battle8192,zstd1-w21,6,1130899.9,636278.1,0.0,327.4655,2297.157,0.0,2928.7525,3991065.0,50.902248,50.902248,2624.6225000000004,26.246225000000003,3.7169689312577248
battle8192,zstd3-w21,6,1130899.9,395210.6,0.0,327.4655,3728.1155,0.0,4093.2480000000005,4711961.0,31.616848,31.616848,4055.581,40.55581,4.388355650007725
battle1024-assets,zstd-1-w21,3,141716.5,53818.5,26215.0,40.65,160.245,4.763,230.142,3434009.0,4.30548,6.40268,205.65800000000002,2.0565800000000003,3.1981701031327248
battle1024-assets,zstd1-w21,3,141716.5,49447.3,26215.0,40.65,185.13,5.189,231.322,3466777.0,3.955784,6.052984,230.969,2.30969,3.2286876812577248
battle1024-assets,zstd3-w21,3,141716.5,49346.2,26215.6,40.65,466.453,9.318,514.634,4187673.0,3.947696,6.044943999999999,516.4209999999999,5.16421,3.9000744000077248
