scenario,codec,repeat,raw_bytes,wire_bytes,asset_wire_bytes_per_tick,serialize_us,compress_cpu_us,asset_cpu_us_per_tick,compress_wall_p95_us,encoder_bytes
battle8192,zstd1-w18,1,1130899.9,636270.8,0.0,295.015,1917.740,0.000,2006.569,2156057
battle8192,zstd1-w20,1,1130899.9,636278.1,0.0,295.015,2042.949,0.000,2077.249,2942489
battle8192,zstd1-w22,1,1130899.9,636278.1,0.0,295.015,2102.692,0.000,2180.461,6088217
battle8192,zstd1-w23,1,1130899.9,636278.1,0.0,295.015,2120.734,0.000,2184.180,10282521
battle8192,zstd1-w24,1,1130899.9,636278.1,0.0,295.015,2118.440,0.000,2157.750,18671129
battle8192,zstd3-w16,1,1130899.9,635900.1,0.0,295.015,3124.730,0.000,3194.790,2303289
battle8192,zstd3-w18,1,1130899.9,640387.5,0.0,295.015,4934.986,0.000,5248.159,2876953
battle8192,zstd3-w20,1,1130899.9,641990.4,0.0,295.015,4916.458,0.000,4992.537,3663385
battle8192,zstd3-w22,1,1130899.9,395187.3,0.0,295.015,3186.585,0.000,3292.630,6809113
battle8192,zstd3-w23,1,1130899.9,395194.4,0.0,295.015,3171.648,0.000,3317.581,11003417
battle8192,zstd3-w24,1,1130899.9,395187.0,0.0,295.015,3144.045,0.000,3236.920,19392025
battle8192,zstd3-w23-ldm,1,1130899.9,402032.8,0.0,295.015,4247.513,0.000,4350.471,11556377
battle8192,zstd3-w24-ldm,1,1130899.9,402815.0,0.0,295.015,4442.338,0.000,4582.283,20473369
battle8192,lz4-linked,1,1130899.9,704632.4,0.0,295.015,1437.827,0.000,1563.775,0
battle8192,zstd-1-w16,1,1130899.9,642294.3,0.0,295.015,1291.195,0.000,1315.322,1549625
battle8192,zstd-1-w18,1,1130899.9,643894.8,0.0,295.015,1444.754,0.000,1526.904,2123289
battle8192,zstd-1-w20,1,1130899.9,643894.4,0.0,295.015,1570.988,0.000,1629.525,2909721
battle8192,zstd-1-w22,1,1130899.9,643894.5,0.0,295.015,1622.395,0.000,1672.036,6055449
battle8192,zstd-1-w23,1,1130899.9,643894.4,0.0,295.015,1657.348,0.000,1699.856,10249753
battle8192,zstd-1-w24,1,1130899.9,643894.4,0.0,295.015,1678.920,0.000,1800.977,18638361
battle8192,zstd3-w18,2,1130899.9,640387.5,0.0,295.015,4851.407,0.000,4956.586,2876953
battle8192,zstd3-w20,2,1130899.9,641990.4,0.0,295.015,4948.554,0.000,5052.568,3663385
battle8192,zstd3-w22,2,1130899.9,395187.3,0.0,295.015,3190.832,0.000,3279.290,6809113
battle8192,zstd3-w23,2,1130899.9,395194.4,0.0,295.015,3156.192,0.000,3248.050,11003417
battle8192,zstd3-w24,2,1130899.9,395187.0,0.0,295.015,3174.967,0.000,3290.591,19392025
battle8192,zstd3-w23-ldm,2,1130899.9,402032.8,0.0,295.015,4472.292,0.000,4671.974,11556377
battle8192,zstd3-w24-ldm,2,1130899.9,402815.0,0.0,295.015,4387.462,0.000,4468.042,20473369
battle8192,lz4-linked,2,1130899.9,704632.4,0.0,295.015,1393.406,0.000,1420.334,0
battle8192,zstd-1-w16,2,1130899.9,642294.3,0.0,295.015,1270.760,0.000,1299.762,1549625
battle8192,zstd-1-w18,2,1130899.9,643894.8,0.0,295.015,1405.481,0.000,1431.913,2123289
battle8192,zstd-1-w20,2,1130899.9,643894.4,0.0,295.015,1556.210,0.000,1598.375,2909721
battle8192,zstd-1-w22,2,1130899.9,643894.5,0.0,295.015,1631.701,0.000,1675.256,6055449
battle8192,zstd-1-w23,2,1130899.9,643894.4,0.0,295.015,1653.866,0.000,1722.786,10249753
battle8192,zstd-1-w24,2,1130899.9,643894.4,0.0,295.015,1655.028,0.000,1681.816,18638361
battle8192,zstd1-w16,2,1130899.9,633671.9,0.0,295.015,1710.077,0.000,1739.677,1582393
battle8192,zstd1-w18,2,1130899.9,636270.8,0.0,295.015,1894.952,0.000,1932.578,2156057
battle8192,zstd1-w20,2,1130899.9,636278.1,0.0,295.015,2041.406,0.000,2065.140,2942489
